what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1459794637932
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1459794637932
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1459794637932
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1459794637933
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1459794637935
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1459794637935
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1459794637936
os,sysinfo,,,"win32",1459794637938
arch,sysinfo,,,"x86_64",1459794637938
ws,sysinfo,,,"win32",1459794637938
locale,sysinfo,,,"pl_PL",1459794637938
processors,sysinfo,,,"4",1459794637938
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1459794637938
java.runtime.version,sysinfo,,,"1.8.0_77-b03",1459794637938
java.specification.name,sysinfo,,,"Java Platform API Specification",1459794637938
java.specification.vendor,sysinfo,,,"Oracle Corporation",1459794637938
java.specification.version,sysinfo,,,"1.8",1459794637938
java.vendor,sysinfo,,,"Oracle Corporation",1459794637938
java.version,sysinfo,,,"1.8.0_77",1459794637938
java.vm.info,sysinfo,,,"mixed mode",1459794637938
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1459794637938
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1459794637938
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1459794637938
java.vm.specification.version,sysinfo,,,"1.8",1459794637938
java.vm.vendor,sysinfo,,,"Oracle Corporation",1459794637938
java.vm.version,sysinfo,,,"25.77-b03",1459794637938
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459794653771
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459794663777
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459794663894
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1459794664079
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1459794664079
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1459794664080
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1459794664080
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1459794664080
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1459794664081
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1459794664081
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1459794664082
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1459794664082
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1459794664082
stopped,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1459794664082
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1459794664086
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1459794664086
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1459794664087
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1459794664089
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1459794664092
stopped,bundle,org.eclipse.rse.importexport,1.2.100.v201003010830,"org.eclipse.rse.importexport",1459794664092
stopped,bundle,org.eclipse.rse.shells.ui,3.0.200.v201006041352,"org.eclipse.rse.shells.ui",1459794664093
stopped,bundle,org.eclipse.rse.files.ui,3.1.100.v201005221100,"org.eclipse.rse.files.ui",1459794664094
stopped,bundle,org.eclipse.rse.processes.ui,3.0.200.v201003010830,"org.eclipse.rse.processes.ui",1459794664094
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1459794664095
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1459794664096
